,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
341,CA,CA,1572985764,91,50.56,-96.99,72,8.01,21.99,21.0
342,RU,RU,1572985765,0,71.98,102.47,86,9.62,-5.82,-5.82
343,CA,CA,1572985767,90,50.93,-102.81,79,13.87,19.4,19.0
344,PT,PT,1572985768,31,40.36,-7.35,92,1.99,52.0,45.0
345,AU,AU,1572985769,69,-38.24,146.4,92,3.0,59.0,48.99
346,RU,RU,1572985771,4,66.56,67.8,87,15.41,15.53,15.53
347,RU,RU,1572985772,100,61.92,63.02,85,4.16,21.13,21.13
348,RU,RU,1572985773,90,64.73,177.51,86,11.18,28.4,28.4
349,ZM,ZM,1572985775,100,-11.73,24.43,94,4.88,62.08,62.08
350,ID,ID,1572985776,100,-0.02,109.34,97,0.22,74.48,74.48
351,NG,NG,1572985778,0,10.3,10.93,37,2.19,76.91,76.91
352,NG,NG,1572985779,75,5.43,7.07,94,3.47,75.2,75.2
353,MV,MV,1572985780,100,6.62,73.07,77,14.92,82.2,82.2
354,US,US,1572985781,40,40.8,-81.38,43,11.41,50.0,46.0
355,GR,GR,1572985715,20,37.98,23.73,93,2.24,71.01,60.8
356,US,US,1572985784,1,34.64,-120.46,15,3.36,86.0,60.8
357,PH,PH,1572985786,67,5.4,125.46,76,10.94,82.31,82.31
358,RU,RU,1572985787,100,60.26,37.97,94,14.61,27.73,27.73
359,CN,CN,1572985788,0,28.28,88.52,55,1.14,25.74,25.74
360,CN,CN,1572985790,0,19.91,109.69,71,6.76,72.16,72.16
361,LA,LA,1572985791,73,20.42,104.04,97,1.54,54.43,54.43
362,IS,IS,1572985792,75,63.84,-22.43,70,8.05,32.0,32.0
363,CA,CA,1572985793,90,55.74,-97.86,78,5.82,8.6,8.6
364,MX,MX,1572985795,0,18.62,-100.35,57,1.86,87.3,87.3
365,PE,PE,1572985796,75,-9.29,-76.01,69,10.29,82.4,82.4
366,MX,MX,1572985797,5,15.86,-97.07,70,11.41,87.8,87.8
367,PG,PG,1572985799,54,-9.07,143.21,81,5.93,76.33,76.33
368,AR,AR,1572985800,0,-29.14,-59.64,60,10.71,80.31,80.31
369,AU,AU,1572985802,0,-31.97,141.45,20,10.29,62.6,62.6
370,GB,GB,1572985804,20,55.12,-1.5,93,5.82,43.0,37.99
371,CA,CA,1572985805,75,47.66,-52.73,60,5.82,43.0,39.0
372,BR,BR,1572985806,40,-20.51,-54.63,34,11.41,96.8,96.8
373,RU,RU,1572985808,100,53.94,139.92,98,6.06,27.27,27.27
374,CD,CD,1572985809,100,2.14,27.99,97,2.01,66.22,66.22
375,CN,CN,1572985811,100,39.73,98.49,50,0.92,35.15,35.15
376,PT,PT,1572985812,0,37.14,-8.45,72,12.75,62.6,57.99
377,OM,OM,1572985814,0,17.01,54.1,69,3.36,80.6,80.6
378,RU,RU,1572985816,100,58.71,81.5,92,13.58,27.41,27.41
379,MV,MV,1572985817,79,2.67,72.89,77,11.56,82.02,82.02
380,VU,VU,1572985818,75,-19.55,169.27,73,9.17,77.0,77.0
381,CA,CA,1572985819,90,48.15,-80.03,73,14.99,32.0,32.0
382,NA,NA,1572985821,77,-24.14,19.11,15,8.34,83.35,83.35
383,BR,BR,1572985822,93,-20.63,-46.0,90,6.4,71.17,71.17
384,NO,NO,1572985824,100,61.99,5.14,64,5.82,37.99,23.0
385,IN,IN,1572985825,98,11.24,79.84,71,4.68,81.99,81.99
386,SA,SA,1572985571,0,25.02,37.27,41,5.03,78.8,78.8
387,ZA,ZA,1572985828,0,-34.05,23.37,65,4.83,64.63,64.63
388,AU,AU,1572985830,53,-12.18,136.78,94,11.88,73.4,73.4
389,CN,CN,1572985831,41,26.42,112.85,68,0.92,58.98,58.98
390,ES,ES,1572985832,75,43.42,-2.72,87,26.4,55.99,46.4
391,FR,FR,1572985834,75,48.3,-3.83,87,11.41,54.0,48.99
392,US,US,1572985641,75,61.22,-149.89,59,6.93,39.0,28.99
393,RU,RU,1572985836,100,58.04,63.7,95,8.32,35.47,35.47
394,CA,CA,1572985838,75,43.93,-79.54,52,9.17,48.0,39.99
395,UG,UG,1572985840,57,-0.34,31.75,66,9.73,72.5,72.5
396,CR,CR,1572985841,75,9.52,-84.33,51,10.29,82.4,75.99
397,JP,JP,1572985658,72,42.33,142.37,96,5.37,31.84,31.84
398,HN,HN,1572985844,0,15.8,-84.28,71,10.29,83.84,83.84
399,NO,NO,1572985845,20,67.1,15.4,85,17.22,24.8,16.0
400,US,US,1572985846,1,64.86,-147.8,84,3.22,21.2,-4.01
401,AR,AR,1572985848,0,-38.31,-60.23,51,8.19,63.32,63.32
402,BR,BR,1572985849,19,-2.92,-39.92,76,12.35,78.76,78.76
403,AU,AU,1572985851,0,-16.99,145.42,88,2.24,68.0,66.0
404,RU,RU,1572985852,100,60.37,28.62,65,15.01,33.01,33.01
405,FI,FI,1572985750,74,62.32,27.87,57,5.82,23.0,23.0
406,RU,RU,1572985855,100,52.99,116.91,79,3.42,8.33,8.33
407,JP,JP,1572985856,45,24.8,125.28,71,21.54,73.83,73.83
408,AR,AR,1572985857,100,-45.87,-67.48,21,32.21,69.8,69.8
409,NZ,NZ,1572985859,43,-45.41,167.72,91,1.32,42.94,42.94
410,RU,RU,1572985861,99,57.31,88.17,86,10.49,25.59,25.59
411,US,US,1572985862,1,35.53,-108.74,14,16.11,66.2,62.01
412,RU,RU,1572985864,100,69.3,139.9,94,2.86,-0.53,-0.53
413,EG,EG,1572985865,100,24.09,32.9,21,11.1,73.72,73.72
414,CA,CA,1572985818,40,68.22,-135.01,77,3.36,8.6,6.8
415,JP,JP,1572985868,20,31.5,131.29,87,9.01,55.0,51.8
416,IN,IN,1572985869,63,15.34,74.49,93,0.74,69.4,69.4
417,TZ,TZ,1572985870,2,-4.55,34.84,63,13.24,65.14,65.14
418,DO,DO,1572985872,40,19.55,-71.08,70,10.29,88.0,84.0
419,US,US,1572985683,90,60.79,-161.76,92,14.99,26.6,23.0
420,RU,RU,1572985875,92,67.55,133.39,97,1.59,-1.29,-1.29
421,NE,NE,1572985876,0,18.69,12.92,18,5.73,77.94,77.94
422,SA,SA,1572985877,20,17.15,42.62,70,3.36,86.0,86.0
423,IN,IN,1572985879,100,20.77,86.74,77,3.96,71.8,71.8
424,US,US,1572985880,90,41.43,-79.71,81,5.82,48.0,42.01
425,BR,BR,1572985882,20,-0.03,-51.17,55,13.87,91.4,91.4
426,UY,UY,1572985883,0,-34.48,-54.34,65,6.22,61.18,61.18
427,EG,EG,1572985884,3,27.18,31.19,42,11.41,68.0,68.0
428,PG,PG,1572985886,100,-5.56,150.15,90,1.61,72.1,72.1
429,CA,CA,1572985877,75,43.26,-79.87,48,14.99,48.2,41.0
430,GA,GA,1572985889,40,-0.72,8.78,94,3.36,78.8,78.8
431,CN,CN,1572985890,0,22.76,100.79,98,2.04,55.38,55.38
432,US,US,1572985892,90,61.58,-149.44,34,6.93,37.99,28.99
433,ID,ID,1572985829,100,-0.91,122.88,74,12.37,80.62,80.62
434,ZA,ZA,1572985895,89,-34.53,20.04,63,6.93,63.0,62.6
435,BR,BR,1572985896,0,-17.73,-39.27,78,12.03,76.51,76.51
436,US,US,1572985897,1,32.58,-88.19,40,6.93,75.2,71.6
437,US,US,1572985763,90,59.64,-151.54,87,3.36,42.8,36.0
438,ID,ID,1572985903,100,3.3,117.63,80,7.74,76.46,76.46
439,BR,BR,1572985904,4,-3.28,-39.27,68,5.93,78.71,78.71
440,CN,CN,1572985905,100,27.21,108.59,85,3.42,53.15,53.15
441,TZ,TZ,1572985907,99,-4.97,39.83,78,14.94,81.09,81.09
442,BR,BR,1572985908,100,-17.45,-44.68,41,2.48,83.19,83.19
443,RU,RU,1572985909,50,66.54,66.62,84,16.67,18.52,18.52
444,GB,GB,1572985911,40,53.76,-2.71,81,6.93,45.0,39.99
445,US,US,1572985912,75,40.64,-97.59,57,14.99,53.6,48.0
446,CN,CN,1572985913,1,38.52,102.19,55,5.93,35.98,35.98
447,AR,AR,1572985794,0,-38.55,-58.74,65,4.0,61.0,61.0
448,IN,IN,1572985916,63,14.5,79.99,83,5.35,76.8,76.8
449,ZA,ZA,1572985814,40,-33.93,18.42,82,11.41,66.99,63.0
450,AU,AU,1572985919,38,-23.58,149.07,26,9.4,66.51,66.51
451,RU,RU,1572985920,100,63.45,120.31,92,6.78,-4.04,-4.04
452,RU,RU,1572985922,98,67.67,53.09,97,6.62,24.01,24.01
453,ES,ES,1572985911,75,28.66,-17.92,83,16.11,71.6,64.0
454,PK,PK,1572985924,100,35.85,71.79,91,2.01,27.55,27.55
455,AT,AT,1572985926,75,48.04,14.31,93,2.24,45.0,37.99
456,ES,ES,1572985927,40,43.27,-7.54,87,5.82,57.0,48.99
457,NP,NP,1572985928,0,26.89,88.07,90,4.03,48.78,48.78
458,IN,IN,1572985930,40,23.43,72.66,88,5.12,77.0,77.0
459,JP,JP,1572985931,20,26.18,127.67,64,9.17,69.8,60.8
460,SD,SD,1572985932,12,19.1,37.33,66,7.83,85.98,85.98
461,CL,CL,1572985933,0,-25.41,-70.49,69,7.29,60.93,60.93
462,CL,CL,1572985935,2,-22.46,-68.93,10,19.46,78.01,77.0
463,CN,CN,1572985936,100,49.28,120.73,51,1.92,12.36,12.36
464,AO,AO,1572985938,99,-8.19,15.37,97,4.52,63.63,63.63
465,BO,BO,1572985939,71,-17.23,-67.92,56,14.25,54.5,54.5
466,CA,CA,1572985940,100,52.34,-109.94,54,16.46,21.99,21.99
467,BR,BR,1572985942,91,-22.97,-42.02,74,10.29,96.8,82.4
468,ZA,ZA,1572985943,100,-33.02,27.91,91,8.14,69.49,69.49
469,GL,GL,1572985944,75,60.91,-46.05,55,8.05,39.2,39.2
470,MV,MV,1572985946,68,-0.6,73.08,73,6.93,81.63,81.63
471,GR,GR,1572985947,0,36.73,24.43,100,6.93,68.0,68.0
472,RU,RU,1572985949,100,49.22,143.1,73,6.53,35.31,35.31
473,ET,ET,1572985950,61,9.57,37.1,89,2.53,55.18,55.18
474,RU,RU,1572985951,0,52.25,79.17,63,4.45,31.64,31.64
475,FO,FO,1572985953,98,62.23,-6.59,64,6.93,35.6,35.6
476,RU,RU,1572985918,92,63.05,179.32,95,1.03,27.93,27.93
477,FR,FR,1572985955,100,43.56,1.54,87,11.41,48.99,46.99
478,NC,NC,1572985957,0,-21.55,167.88,70,9.98,75.7,75.7
479,CA,CA,1572985808,75,44.08,-80.2,56,14.99,44.6,39.0
480,AI,AI,1572985959,40,18.22,-63.06,62,16.11,87.8,82.99
481,CA,CA,1572985961,40,69.44,-133.03,78,16.11,15.8,15.8
482,RU,RU,1572985962,66,66.83,70.83,89,12.21,13.51,13.51
483,ID,ID,1572985963,1,-8.35,113.61,87,4.29,75.87,75.87
484,IS,IS,1572985965,100,64.25,-15.21,82,18.05,34.65,34.65
485,PH,PH,1572985738,100,17.54,120.52,92,3.78,73.53,73.53
486,CV,CV,1572985967,75,16.18,-22.92,78,19.46,78.8,77.0
487,NA,NA,1572985969,0,-22.95,14.51,63,10.29,64.99,64.4
488,US,US,1572985970,90,33.19,-82.53,64,8.21,77.0,68.0
489,DE,DE,1572985971,25,50.15,10.71,96,3.42,44.01,34.0
490,NZ,NZ,1572985973,100,-43.53,172.64,93,10.29,55.99,50.0
491,LR,LR,1572985974,40,5.88,-10.05,94,3.42,78.8,78.8
492,US,US,1572985976,1,43.62,-116.24,37,2.39,60.01,53.6
493,TC,TC,1572985977,40,21.46,-71.14,74,9.17,82.4,82.4
494,RU,RU,1572985978,74,54.43,31.9,85,13.85,47.46,47.46
495,IR,IR,1572985980,6,33.64,46.42,76,4.7,48.2,48.2
496,SL,SL,1572985981,100,7.53,-12.5,83,4.72,80.44,80.44
497,RU,RU,1572985983,98,53.69,88.07,96,5.37,30.06,30.06
498,TR,TR,1572985984,0,39.64,34.47,56,3.15,51.58,51.58
499,CN,CN,1572985986,100,33.86,115.78,56,5.28,53.53,53.53
500,PH,PH,1572985987,100,6.3,120.58,76,9.98,82.17,82.17
501,BR,BR,1572985989,94,-10.34,-67.19,55,1.12,86.68,86.68
502,US,US,1572985918,1,20.89,-156.47,58,10.29,86.0,80.01
503,NZ,NZ,1572985816,93,-46.19,168.86,73,4.0,55.0,55.0
504,BR,BR,1572985993,54,-14.74,-50.57,56,5.88,86.76,86.76
505,DE,DE,1572985994,100,54.1,13.38,92,1.01,46.0,46.0
506,CA,CA,1572985996,90,50.04,-110.68,92,16.11,30.2,27.0
507,CL,CL,1572985726,40,-45.58,-72.07,44,5.82,57.2,55.4
508,CL,CL,1572985998,75,-53.16,-70.91,86,27.51,42.8,39.0
509,US,US,1572985945,1,37.68,-113.06,22,7.0,59.0,59.0
510,RU,RU,1572986001,30,68.75,161.3,78,4.7,10.58,10.58
511,PT,PT,1572986002,31,40.68,-7.46,92,1.01,51.01,44.01
512,AR,AR,1572986004,0,-39.03,-67.58,15,10.29,80.6,80.6
513,NZ,NZ,1572986005,100,-35.1,173.78,73,0.51,70.0,66.99
514,BE,BE,1572986006,75,50.35,5.46,93,3.36,48.2,41.0
515,IN,IN,1572986008,96,19.21,73.88,81,1.54,72.57,72.57
516,CA,CA,1572986009,75,53.22,-106.39,57,11.41,21.2,21.2
517,JP,JP,1572986010,7,35.73,140.83,93,3.36,46.4,42.8
518,BR,BR,1572986012,100,-28.66,-56.0,80,13.96,74.17,74.17
519,CD,CD,1572986013,0,1.23,23.61,91,1.86,70.47,70.47
520,DE,DE,1572986015,81,50.88,6.47,100,1.12,50.0,45.0
521,TM,TM,1572986016,0,37.5,61.97,59,4.7,35.6,35.6
522,TZ,TZ,1572986018,48,-3.17,33.8,67,7.45,72.41,72.41
523,AU,AU,1572986019,1,-34.72,135.86,86,12.93,55.99,55.99
524,RU,RU,1572986021,75,59.96,29.42,86,11.18,36.0,33.01
525,RU,RU,1572986022,100,59.24,163.07,93,43.26,38.7,38.7
526,CV,CV,1572986023,100,14.9,-24.5,59,24.45,79.92,79.92
527,GL,GL,1572986025,100,65.61,-37.64,72,44.49,28.27,28.27
528,RU,RU,1572986026,100,58.67,66.57,92,6.04,33.17,33.17
529,GB,GB,1572986028,75,51.33,-0.78,93,11.41,51.01,46.4
530,CL,CL,1572986029,0,-37.72,-72.23,33,14.99,73.4,73.4
531,AR,AR,1572986030,0,-33.68,-59.66,37,1.01,79.0,79.0
532,RU,RU,1572986032,83,50.68,156.12,90,15.79,33.84,33.84
533,US,US,1572986033,40,42.14,-83.25,42,12.75,46.99,42.01
534,LS,LS,1572986035,99,-30.4,27.7,65,6.29,59.23,59.23
535,PK,PK,1572986036,0,27.56,68.21,78,6.17,73.4,73.4
536,BR,BR,1572986037,75,-28.24,-48.67,88,19.46,73.4,73.4
537,NZ,NZ,1572985906,100,-35.17,173.16,93,2.98,70.0,70.0
538,RU,RU,1572986040,0,53.27,80.77,91,6.35,24.8,24.8
539,RU,RU,1572986041,78,69.7,170.27,80,3.98,12.72,12.72
540,IN,IN,1572986043,0,27.1,93.63,83,3.42,62.06,62.06
541,US,US,1572986045,1,43.97,-111.68,37,9.17,55.0,48.2
542,US,US,1572986046,1,45.22,-112.64,28,12.75,57.0,54.0
543,PE,PE,1572986047,63,-16.02,-72.01,42,12.75,68.0,68.0
544,CN,CN,1572986048,2,29.96,122.3,68,14.74,65.32,65.32
545,MU,MU,1572986050,40,-20.41,57.7,94,2.24,71.6,71.01
546,MN,MN,1572986051,36,45.76,106.27,65,15.64,29.25,29.25
547,NO,NO,1572986053,100,63.12,7.73,63,9.17,28.4,26.6
548,ZA,ZA,1572986054,0,-29.67,17.88,42,9.44,62.35,62.35
549,MZ,MZ,1572986056,95,-14.8,36.54,58,6.58,75.02,75.02
550,VG,VG,1572986057,20,18.42,-64.62,70,14.99,84.2,80.01
551,US,US,1572986058,90,43.66,-70.25,87,12.75,52.0,48.99
552,AU,AU,1572986060,14,-33.21,138.6,39,7.25,56.91,56.91
553,US,US,1572985861,75,36.85,-75.98,77,3.36,69.01,63.0
554,MX,MX,1572985791,40,22.89,-109.91,66,3.36,89.01,82.0
555,CA,CA,1572986064,75,49.25,-55.06,56,8.05,43.0,41.0
556,MX,MX,1572986065,40,17.52,-101.27,63,4.7,91.4,91.4
557,KE,KE,1572986066,32,-0.46,39.64,67,16.55,78.67,78.67
558,MX,MX,1572986068,75,23.99,-104.67,36,2.24,75.2,72.0
559,CO,CO,1572986069,100,8.51,-77.28,86,0.87,78.71,78.71
560,ZA,ZA,1572986070,100,-33.59,26.89,91,1.01,66.99,66.99
561,ZA,ZA,1572985824,69,-34.42,19.24,85,3.0,64.0,63.0
562,IT,IT,1572986073,68,45.42,9.4,100,2.24,55.99,46.0
563,CN,CN,1572985897,100,40.29,97.04,39,7.78,42.51,42.51
564,BR,BR,1572986076,40,-7.13,-34.94,69,13.87,80.6,80.6
565,PG,PG,1572986078,100,-3.66,152.44,75,12.08,81.37,81.37
566,JP,JP,1572986079,25,43.32,145.57,66,27.76,45.05,45.05
567,PH,PH,1572986080,100,11.72,122.09,80,18.75,82.24,82.24
568,PH,PH,1572986082,100,10.31,119.01,78,31.68,83.41,83.41
569,NO,NO,1572986083,100,63.83,10.7,78,5.82,28.0,17.6
570,RU,RU,1572986084,100,50.04,46.89,75,18.39,46.98,46.98
571,PH,PH,1572986086,51,13.13,123.76,83,5.97,79.03,79.03
572,PT,PT,1572985852,0,41.42,-6.55,86,10.16,46.2,46.2
573,IR,IR,1572986089,100,38.23,44.7,38,1.36,35.82,35.82
574,GF,GF,1572986090,45,5.48,-53.21,80,15.73,82.35,82.35
575,AU,AU,1572986091,20,-42.78,147.06,54,13.87,53.6,52.0
576,ET,ET,1572986093,81,5.87,38.99,94,0.89,58.73,58.73
577,PH,PH,1572986094,85,14.28,122.79,77,7.43,82.31,82.31
578,US,US,1572985866,1,39.31,-74.98,48,9.17,64.4,60.01
579,GY,GY,1572986097,20,6.8,-58.16,83,6.93,84.2,82.4
580,AU,AU,1572986098,100,-20.73,139.49,15,6.93,66.2,66.2
581,RU,RU,1572986099,99,67.47,78.7,95,6.06,13.66,13.66
582,IN,IN,1572986101,22,9.44,78.44,84,2.44,78.24,78.24
583,RU,RU,1572986102,100,61.69,53.69,79,5.3,24.33,24.33
584,CD,CD,1572986103,73,0.49,29.47,96,1.41,64.0,64.0
585,CU,CU,1572986105,40,21.26,-78.15,70,12.75,84.2,84.2
586,PF,PF,1572986106,0,-16.78,-151.5,72,6.69,81.09,81.09
587,LY,LY,1572986108,0,30.75,20.22,61,6.17,69.03,69.03
588,CA,CA,1572986109,75,65.28,-126.83,72,8.05,15.8,15.8
589,RU,RU,1572986110,39,66.32,-179.17,65,2.51,14.52,14.52
590,AU,AU,1572986111,20,-42.88,147.33,54,13.87,53.6,52.0
591,BW,BW,1572986113,0,-19.99,23.42,27,4.7,86.0,86.0
592,RS,RS,1572986114,100,43.39,21.03,52,16.11,66.2,66.2
593,CN,CN,1572986115,97,30.51,117.04,50,7.07,56.28,56.28
594,US,US,1572986117,40,26.68,-80.67,70,8.05,86.0,81.0
595,CN,CN,1572986118,80,50.78,121.52,76,2.48,4.24,4.24
596,NZ,NZ,1572986119,100,-39.64,176.84,66,1.99,60.96,60.96
597,US,US,1572986121,1,27.1,-82.45,62,8.05,88.0,84.0
598,EE,EE,1572986122,100,58.66,27.16,96,3.36,33.8,33.01
599,CY,CY,1572986124,0,34.81,32.42,64,9.17,68.0,68.0
600,MV,MV,1572986125,100,5.1,73.07,73,8.41,82.18,82.18
601,ID,ID,1572986126,54,-9.11,124.89,77,2.42,73.08,73.08
602,BR,BR,1572986127,64,-19.53,-54.04,31,8.79,95.09,95.09
603,CL,CL,1572986129,20,-29.95,-71.34,77,13.87,60.8,60.8
604,FI,FI,1572986130,90,65.01,25.47,92,2.24,21.2,18.0
605,IN,IN,1572986131,0,26.09,83.29,54,4.85,69.39,69.39
606,GB,GB,1572986133,100,60.4,-1.35,75,17.22,41.0,37.4
607,CN,CN,1572985854,98,40.81,111.65,80,4.47,35.6,35.6
608,KZ,KZ,1572986135,7,51.62,73.1,94,10.13,21.07,21.07
609,AU,AU,1572986137,23,-12.05,134.23,87,3.29,76.35,76.35
610,AU,AU,1572986138,100,-15.77,128.74,39,6.93,82.4,82.4
611,BB,BB,1572986140,40,13.22,-59.52,70,19.46,86.0,86.0
612,BN,BN,1572986048,90,5.28,115.24,94,3.36,75.2,75.0
613,MX,MX,1572985866,44,18.61,-90.75,40,3.42,91.9,91.9
614,AU,AU,1572985916,40,-37.83,140.78,93,8.05,51.8,51.8
615,AU,AU,1572986145,90,-33.86,121.89,76,8.05,55.4,55.4
616,PH,PH,1572986147,99,13.32,122.68,88,10.13,78.26,78.26
617,BR,BR,1572986149,81,-20.64,-40.75,70,21.92,86.0,84.2
618,CN,CN,1572986150,100,38.71,116.1,71,2.46,46.49,46.49
619,RU,RU,1572986151,100,60.06,69.92,98,8.14,31.39,31.39
620,RU,RU,1572986153,20,42.65,131.06,51,22.24,41.5,41.5
621,US,US,1572986154,1,40.86,-74.16,58,8.05,62.01,55.99
622,RU,RU,1572986155,97,70.62,147.9,94,6.08,3.25,3.25
623,ET,ET,1572986157,20,8.96,38.73,51,13.87,60.8,60.8
624,RU,RU,1572986158,100,73.51,80.55,84,12.64,3.02,3.02
625,SO,SO,1572986159,31,9.56,44.06,63,9.33,65.86,65.86
626,UA,UA,1572986161,100,51.62,24.92,95,6.22,52.02,52.02
627,US,US,1572986163,1,40.33,-91.2,45,8.05,50.0,45.0
628,GH,GH,1572986164,0,5.26,-0.76,90,3.02,76.08,76.08
629,NZ,NZ,1572986165,100,-43.76,172.02,93,10.29,55.99,50.0
630,AU,AU,1572986167,32,-23.13,150.74,33,2.24,62.6,62.6
631,FR,FR,1572985903,90,48.95,4.24,100,3.36,48.2,42.01
632,NZ,NZ,1572986169,100,-35.62,174.5,73,3.18,66.99,66.99
633,US,US,1572986170,75,46.84,-105.12,86,8.05,33.01,30.2
634,ZM,ZM,1572986172,100,-13.6,24.21,90,1.23,65.7,65.7
635,US,US,1572986173,1,47.66,-117.42,57,4.7,57.99,46.99
636,IN,IN,1572986175,0,26.16,85.9,59,2.89,69.49,69.49
637,NG,NG,1572986176,51,13.03,5.27,19,3.91,81.27,81.27
638,BR,BR,1572986177,100,-21.64,-41.05,58,13.87,87.8,86.0
639,PW,PW,1572985913,100,7.04,134.26,83,23.47,80.26,80.26
640,RU,RU,1572985896,100,62.53,155.8,96,12.12,13.5,13.5
641,PY,PY,1572986181,89,-26.98,-56.83,74,11.1,78.33,78.33
642,CM,CM,1572986183,50,3.65,10.77,97,1.57,68.11,68.11
643,MG,MG,1572986184,85,-16.8,47.65,72,9.48,70.5,70.5
644,KI,KI,1572986185,0,3.07,172.79,76,12.39,84.09,84.09
645,RU,RU,1572986186,100,52.65,42.73,79,17.98,49.08,49.08
646,BR,BR,1572986188,40,-16.02,-48.01,42,5.82,86.0,86.0
647,MX,MX,1572985970,20,16.86,-99.88,74,3.36,87.8,87.8
648,CD,CD,1572986191,100,-3.59,26.67,96,0.74,69.53,69.53
649,PT,PT,1572986192,40,41.82,-8.78,87,5.82,62.01,51.01
650,RU,RU,1572986193,100,54.46,64.85,79,12.06,33.8,33.8
651,LK,LK,1572986194,100,7.42,81.82,79,9.84,80.38,80.38
652,RU,RU,1572986196,20,51.88,107.48,73,2.24,21.2,21.2
653,CL,CL,1572986197,40,-32.83,-70.6,20,13.87,82.4,79.0
654,AR,AR,1572986199,100,-46.43,-67.52,25,33.84,70.32,70.32
655,LK,LK,1572986202,79,6.12,81.12,80,6.31,79.81,79.81
656,AU,AU,1572986203,28,-33.64,115.35,68,6.31,48.0,46.0
657,CN,CN,1572986205,100,38.94,100.46,61,2.01,39.0,39.0
658,SE,SE,1572986206,90,63.18,14.64,92,1.12,19.0,10.99
659,BR,BR,1572986207,100,-6.64,-51.99,55,2.59,85.71,85.71
660,US,US,1572986209,0,37.17,-99.65,38,10.0,57.99,57.0
661,CN,CN,1572986210,0,43.65,111.97,69,8.7,40.08,40.08
662,US,US,1572986211,20,34.15,-119.2,64,9.17,89.01,66.99
663,ID,ID,1572986213,1,-9.65,120.26,70,2.57,81.72,81.72
664,MG,MG,1572986214,18,-22.14,48.01,94,3.02,71.28,71.28
665,ES,ES,1572986215,40,43.52,-8.15,87,5.82,59.0,51.01
666,US,US,1572986217,40,22.08,-159.32,74,11.41,82.4,80.6
667,VN,VN,1572986218,92,9.18,105.15,90,0.89,74.98,74.98
668,SN,SN,1572986219,0,16.03,-16.5,61,6.93,80.6,80.6
669,AR,AR,1572986221,88,-29.41,-66.86,85,6.04,58.26,58.26
670,RU,RU,1572986222,6,69.38,178.42,74,7.27,13.12,13.12
671,JP,JP,1572986224,20,35.36,137.25,76,13.87,51.8,46.0
672,RU,RU,1572986225,100,64.27,100.22,98,4.14,-5.1,-5.1
673,RU,RU,1572986226,91,65.85,74.49,92,13.33,11.08,11.08
674,BR,BR,1572986227,20,-9.67,-35.74,69,14.99,78.8,78.8
675,CY,CY,1572986229,0,34.92,32.53,64,9.17,68.0,68.0
676,DZ,DZ,1572986230,0,27.87,-0.29,18,8.05,75.2,75.2
677,PH,PH,1572986231,94,8.0,124.29,88,3.0,73.99,73.99
678,MX,MX,1572986233,40,26.83,-109.63,26,4.7,95.0,91.0
679,BO,BO,1572986234,75,-11.08,-66.08,74,4.7,84.2,84.2
